{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 4, 'n_target': 50, 'lipton': 0.235, 'prop-target': 0.84, 'oracle': 0.235, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0031, 'n_source': 4, 'n_target': 50, 'lipton': 0.2425, 'prop-target': 0.92, 'oracle': 0.2425, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0037, 'n_source': 4, 'n_target': 50, 'lipton': 0.2075, 'prop-target': 0.72, 'oracle': 0.5175, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0035, 'n_source': 4, 'n_target': 50, 'lipton': 0.15, 'prop-target': 0.78, 'oracle': 0.73, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 4, 'n_target': 50, 'lipton': 0.235, 'prop-target': 0.72, 'oracle': 0.515, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0034, 'n_source': 4, 'n_target': 50, 'lipton': 0.22, 'prop-target': 0.72, 'oracle': 0.5475, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 4, 'n_target': 50, 'lipton': 0.1975, 'prop-target': 0.76, 'oracle': 0.4325, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 4, 'n_target': 50, 'lipton': 0.2125, 'prop-target': 0.78, 'oracle': 0.46, 'iter': 44}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 4, 'n_target': 50, 'lipton': 0.2575, 'prop-target': 0.88, 'oracle': 0.4375, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 4, 'n_target': 50, 'lipton': 0.1875, 'prop-target': 0.82, 'oracle': 0.64, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 4, 'n_target': 50, 'lipton': 0.2125, 'prop-target': 0.82, 'oracle': 0.29, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 4, 'n_target': 50, 'lipton': 0.1425, 'prop-target': 0.88, 'oracle': 0.1425, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 4, 'n_target': 50, 'lipton': 0.2125, 'prop-target': 0.74, 'oracle': 0.45, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 4, 'n_target': 50, 'lipton': 0.255, 'prop-target': 0.76, 'oracle': 0.47, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 4, 'n_target': 50, 'lipton': 0.18, 'prop-target': 0.7, 'oracle': 0.18, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 4, 'n_target': 50, 'lipton': 0.195, 'prop-target': 0.72, 'oracle': 0.515, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 4, 'n_target': 50, 'lipton': 0.1875, 'prop-target': 0.82, 'oracle': 0.4425, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 4, 'n_target': 50, 'lipton': 0.235, 'prop-target': 0.76, 'oracle': 0.235, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0052, 'n_source': 4, 'n_target': 50, 'lipton': 0.23, 'prop-target': 0.66, 'oracle': 0.23, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 4, 'n_target': 50, 'lipton': 0.24, 'prop-target': 0.84, 'oracle': 0.24, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 4, 'n_target': 50, 'lipton': 0.1775, 'prop-target': 0.84, 'oracle': 0.4525, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0034, 'n_source': 4, 'n_target': 50, 'lipton': 0.2, 'prop-target': 0.7, 'oracle': 0.435, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0037, 'n_source': 4, 'n_target': 50, 'lipton': 0.2075, 'prop-target': 0.84, 'oracle': 0.2075, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 4, 'n_target': 50, 'lipton': 0.195, 'prop-target': 0.76, 'oracle': 0.195, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 4, 'n_target': 50, 'lipton': 0.2525, 'prop-target': 0.78, 'oracle': 0.2525, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 4, 'n_target': 50, 'lipton': 0.2625, 'prop-target': 0.92, 'oracle': 0.2625, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 4, 'n_target': 50, 'lipton': 0.215, 'prop-target': 0.72, 'oracle': 0.215, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 4, 'n_target': 50, 'lipton': 0.195, 'prop-target': 0.84, 'oracle': 0.195, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 4, 'n_target': 50, 'lipton': 0.2225, 'prop-target': 0.8, 'oracle': 0.2225, 'iter': 37}

{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0035, 'n_source': 4, 'n_target': 50, 'lipton': 0.2025, 'prop-target': 0.76, 'oracle': 0.2025, 'iter': 70{'{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 4, 'n_target': 50, 'lipton': 0.2375, 'prop-target': 0.72, 'oracle': 0.2375, 'iter': 89{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 4, 'n_target': 50, 'lipton': 0.2825, 'prop-target': 0.78, 'oracle': 0.2825, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 4, 'n_target': 50, 'lipton': 0.2125, 'prop-target': 0.86, 'oracle': 0.6275, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 4, 'n_target': 50, 'lipton': 0.2375, 'prop-target': 0.84, 'oracle': 0.2375, 'iter': 69}
